id,movie,year,genre,duration,country,director,humor,rhythm,effort,tension,vote,avg_vote
2077,Detective,1985,Thriller,97,France,Jean-Luc Godard,1,2,4,3,6,18
2083,The Chain Reaction,1980,Sci-Fi,96,Australia,Ian Berry,0,3,2,3,7,7
2093,Diamonds for Breakfast,1968,Comedy,102,Great Britain,Christopher Morahan,1,2,0,1,3,6
2100,Tagebuch einer Verlorenen,1929,Drama,90,Germany,Georg Wilhelm Pabst,0,3,4,3,8,33
2111,Libel,1959,Drama,100,Great Britain,Anthony Asquith,0,2,1,3,6,7
2120,La décade prodigieuse,1971,Thriller,108,France,Claude Chabrol,1,2,1,3,6,48
2146,Campbell's Kingdom,1958,Adventure,102,Great Britain,Ralph Thomas,0,2,1,2,6,4
2159,Descente aux enfers,1986,Thriller,90,France,Francis Girod,0,1,0,2,5,11
2187,Les chiens,1979,Drama,99,France,Alain Jessua,0,0,0,0,7,4
2191,Life Is Sweet,1990,Comedy,102,Great Britain,Mike Leigh,2,2,3,1,7,11
2200,Tomorrow at Ten,1964,Thriller,77,Great Britain,Lance Comfort,0,2,0,3,6,4
2250,Woman of Straw,1964,Drama,114,Great Britain,Basil Dearden,0,2,0,1,6,29
2254,La bonne année,1973,Comedy,115,France,Claude Lelouch,1,3,2,3,7,27
2281,Women in Love,1969,Drama,133,Great Britain,Ken Russell,1,2,3,2,7,51
2288,Mujeres al borde de un ataque de nervios,1988,Comedy,90,Spain,Pedro Almodóvar,3,4,2,2,7,208
2309,The Odessa File,1974,Spy,130,Great Britain,Ronald Neame,0,2,0,2,6,28
2314,Inferno - Menschen der Zeit,1922,Drama,100,Germany,Fritz Lang,1,3,1,3,8,20
2316,Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb,1963,Grotesque,93,Great Britain,Stanley Kubrick,2,1,2,1,8,511
2317,The Doctor and the Devils,1985,Horror,93,Great Britain,Freddie Francis,0,0,0,0,7,3
2325,Where's Jack?,1969,Adventure,120,Great Britain,James Clavell,2,3,0,1,7,3
2351,Dead-End Drive In,1986,Sci-Fi,92,Australia,Brian Trenchard-Smith,0,0,0,0,5,6
2363,Deux hommes dans la ville,1973,Crime,95,France,José Giovanni,1,2,3,3,6,36
2377,Les fugitifs,1986,Comedy,85,France,Francis Veber,2,2,0,1,6,21
2381,To Paris with Love,1954,Comedy,78,Great Britain,Robert Hamer,2,3,0,1,5,14
2396,The Tall Guy,1989,Comedy,92,Great Britain,Mel Smith,1,3,0,1,5,9
2441,Duet for One,1986,Drama,107,Great Britain,Andrey Konchalovskiy,0,1,3,0,5,9
2467,And Now for Something Completely Different,1971,Comedy,89,Great Britain,Ian MacNaughton,3,2,0,0,7,66
2481,Echos aus einem düsteren Reich,1990,Documentary,85,Germany,Werner Herzog,0,2,3,2,7,29
2493,El cochecito,1960,Comedy,86,Spain,Marco Ferreri,2,1,3,1,7,38
2510,Entr'acte/Voyage imaginaire/La Tour,1924,Fantasy,117,France,René Clair,3,3,3,1,8,32
2513,Ils étaient neuf célibataires,1939,Comedy,112,France,Sacha Guitry,2,2,0,1,6,11
2541,The Heroes of Telemark,1965,War,131,Great Britain,Anthony Mann,2,2,2,3,6,45
2550,Les seins de glace,1974,Thriller,105,France,Georges Lautner,0,2,0,3,5,21
2575,The Europeans,1979,Drama,83,Great Britain,James Ivory,0,0,0,0,8,4
2645,Le fantôme de la liberté,1974,Drama,105,France,Luis Buñuel,2,3,3,1,8,131
2646,The Ghost Goes West,1936,Comedy,87,Great Britain,René Clair,3,3,0,1,7,27
2653,Dead Cert,1974,Crime,90,Great Britain,Tony Richardson,0,2,1,2,6,4
2667,Le charme discret de la bourgeoisie,1972,Grotesque,97,France,Luis Buñuel,2,3,3,2,8,284
2676,Faust,1926,Drama,85,Germany,F.W. Murnau,0,3,5,3,9,59
2696,Beware of Pity,1946,Drama,106,Great Britain,Maurice Elvey,0,2,2,2,5,4
2710,The Birthday Party,1968,Drama,127,Great Britain,William Friedkin,0,0,0,0,7,11
2736,Ryan's Daughter,1970,Drama,193,Great Britain,David Lean,0,2,2,2,8,76
2740,Comme un boomerang,1976,Drama,85,France,José Giovanni,0,3,2,3,6,35
2774,À bout de souffle,1960,Drama,90,France,Jean-Luc Godard,1,2,3,2,8,253
2783,Fitzcarraldo,1982,Adventure,158,Germany,Werner Herzog,0,2,3,2,8,182
2791,Flash Gordon,1980,Sci-Fi,100,Great Britain,Mike Hodges,1,2,0,2,5,110
2795,Trollflöjten,1974,Musical,135,Sweden,Ingmar Bergman,2,3,2,1,7,32
2796,Flic story,1975,Crime,110,France,Jacques Deray,2,4,2,4,7,56
2804,Riders of the Storm,1986,Grotesque,92,Great Britain,Maurice Phillips,0,0,0,0,5,6
2883,Ned Kelly,1970,Western,103,Great Britain,Tony Richardson,0,3,0,3,5,9
2894,Le Pacha,1968,Crime,95,France,Georges Lautner,1,2,1,3,6,38
2899,Frenzy,1972,Thriller,115,Great Britain,Alfred Hitchcock,2,3,2,3,7,244
2902,North West Frontier,1959,Adventure,129,Great Britain,J. Lee Thompson,2,2,1,2,7,15
2906,Doctor Phibes Rises Again,1972,Horror,89,Great Britain,Robert Fuest,2,2,0,3,5,30
2909,Feu Mathias Pascal,1926,Drama,118,France,Marcel L'Herbier,2,3,3,3,7,10
2919,Midnight Express,1978,Drama,119,Great Britain,Alan Parker,0,3,3,3,7,237
2934,Funeral in Berlin,1967,Spy,102,Great Britain,Guy Hamilton,1,3,0,3,7,25
2958,De bruit et de fureur,1987,Drama,95,France,Jean-Claude Brisseau,0,3,3,3,8,4
2973,Das kabinett des Doktor Caligari,1920,Horror,78,Germany,Robert Wiene,0,3,4,4,9,244
2975,Gandhi,1982,Biography,180,Great Britain,Richard Attenborough,0,3,4,3,7,169
2986,The Trials of Oscar Wilde,1960,Drama,120,Great Britain,Ken Hughes,0,0,0,0,8,9
2987,La chatte,1958,War,105,France,Henri Decoin,0,2,0,2,7,3
2994,The Cat and the Canary,1978,Thriller,92,Great Britain,Radley Metzger,1,1,1,2,5,11
